岗位名称,公司名称,公司类型,薪资范围,技能要求,数据来源,详情页URL
日语翻译实习,樱通翻译,未知,150-200/天,"可转正, 工作氛围好",实习僧,https://www.shixiseng.com/intern/inn_cpybiswsfddc?pcm=pc_SearchList
实习研究员,广州市城市现代化与发展研究会,未知,100-150/天,"大平台, 包食宿, 专家指导, 免费健身房",实习僧,https://www.shixiseng.com/intern/inn_59u2qagdhf4j?pcm=pc_SearchList
实习助教,学微教育,未知,50-100/天,"远程实习, 地铁周边, 免费班车, 不打卡, 零基础实习, 可转正实习, 周末双休, 暑期实习",实习僧,https://www.shixiseng.com/intern/inn_9kmlgvlrbhgd?pcm=pc_SearchList
实习管家,上海地产城方,未知,100-120/天,"暑期实习, 接受大一大二, 零基础实习",实习僧,https://www.shixiseng.com/intern/inn_itti8ztli3jh?pcm=pc_SearchList
网络工程师（实习）,博安实业,未知,120-150/天,"可转正实习, 零基础实习, 弹性工作, 周末双休, 实习证明",实习僧,https://www.shixiseng.com/intern/inn_ojefqa3p8ekv?pcm=pc_SearchList
人事行政实习岗,上海华盛,未知,100-200/天,"可转正实习, 暑期实习, 寒假实习, 接受大一大二, 零基础实习, 留学生实习",实习僧,https://www.shixiseng.com/intern/inn_nxqmeuanugzd?pcm=pc_SearchList
实习导演,嗨藩,未知,200-400/天,"可转正实习, 零基础实习",实习僧,https://www.shixiseng.com/intern/inn_7fbijeyyymur?pcm=pc_SearchList
实习编导,大学长,未知,100-150/天,"可转正实习, 留学生实习, 接受大一大二",实习僧,https://www.shixiseng.com/intern/inn_gvv0fjhj1wyl?pcm=pc_SearchList
实习助教,乐高轮滑,未知,80-150/天,"可转正实习, 零基础实习, 带薪年假, 餐补, 高提成, 带薪培训",实习僧,https://www.shixiseng.com/intern/inn_1nj62ouflhs7?pcm=pc_SearchList
实习资料员,广州三建,未知,100-120/天,暑期实习,实习僧,https://www.shixiseng.com/intern/inn_95og7qojw3y6?pcm=pc_SearchList
助教实习,中经天合,未知,100-200/天,"远程实习, 可转正",实习僧,https://www.shixiseng.com/intern/inn_308hmjshir4i?pcm=pc_SearchList
实习工程师,无锡维矽半导体,未知,150-200/天,"晋升空间大, 可转正实习, 零基础实习, 生日会",实习僧,https://www.shixiseng.com/intern/inn_vmjjcxtg5xzl?pcm=pc_SearchList
java实习,体坛传媒,未知,200-300/天,可转正实习,实习僧,https://www.shixiseng.com/intern/inn_rpjf7entbnhb?pcm=pc_SearchList
实习行政助理,墨影传媒,未知,80-120/天,"接受大一大二, 暑期实习, 零基础实习",实习僧,https://www.shixiseng.com/intern/inn_xtdjf30hb8lt?pcm=pc_SearchList
实习编辑,立信诺成,未知,180-200/天,可转正实习,实习僧,https://www.shixiseng.com/intern/inn_ggmsqya2zcy3?pcm=pc_SearchList
java实习,通得科技,未知,80-150/天,"可转正实习, 实习证明",实习僧,https://www.shixiseng.com/intern/inn_izepfqlowdgr?pcm=pc_SearchList
实习助教,BMC国际教育,未知,150-200/天,"可转正实习, 留学生实习",实习僧,https://www.shixiseng.com/intern/inn_hjipuzyfyt6k?pcm=pc_SearchList
实习技术员,博姿妮卫生化妆品用具(苏州)有限公司,未知,180-250/天,"可转正实习, 零基础实习",实习僧,https://www.shixiseng.com/intern/inn_5cjjnxmeehrk?pcm=pc_SearchList
实习助教,爱唯易教育,未知,50-80/天,"可转正实习, 接受大一大二",实习僧,https://www.shixiseng.com/intern/inn_2savt5ma2cru?pcm=pc_SearchList
助教（实习）,慧莹语言艺术,未知,80-100/天,"可转正实习, 暑期实习, 寒假实习, 接受大一大二, 零基础实习, 实习证明",实习僧,https://www.shixiseng.com/intern/inn_1hpnmum55ut2?pcm=pc_SearchList
实习分析师,观彻投资,未知,150-200/天,"远程实习, 可转正实习, 不打卡, 留学生实习, 零基础实习, 地铁周边",实习僧,https://www.shixiseng.com/intern/inn_wiir2g7zymfo?pcm=pc_SearchList
实习助教,麟龙网络科技有限公司,未知,100-200/天,远程实习,实习僧,https://www.shixiseng.com/intern/inn_5cp2qzbjoyst?pcm=pc_SearchList
实习律师,驴狮网,未知,80-150/天,"可转正实习, 远程实习, 寒假实习, 暑期实习, 接受大一大二, 零基础实习",实习僧,https://www.shixiseng.com/intern/inn_h79kdg740sdd?pcm=pc_SearchList
